n;array_size;time_elapsed;time
16;100000;110.00871658325195;07/04/2023 22:44:10
16;100000;112.98775672912598;07/04/2023 22:44:11
16;100000;137.00175285339355;07/04/2023 22:44:13
16;100000;92.74578094482422;07/04/2023 22:44:14
32;100000;142.36783981323242;07/04/2023 22:44:16
32;100000;121.6123104095459;07/04/2023 22:44:18
32;100000;150.9990692138672;07/04/2023 22:44:19
32;100000;130.00035285949707;07/04/2023 22:44:21
32;100000;125.72598457336426;07/04/2023 22:44:22
1;100;0.0;07/04/2023 22:44:24
1;100;0.9975433349609375;07/04/2023 22:44:25
1;100;0.0;07/04/2023 22:44:27
1;100;1.0042190551757812;07/04/2023 22:44:28
1;100;1.005411148071289;07/04/2023 22:44:30
2;100;1.003265380859375;07/04/2023 22:44:31
2;100;2.881765365600586;07/04/2023 22:44:33
2;100;1.0066032409667969;07/04/2023 22:44:34
2;100;1.0006427764892578;07/04/2023 22:44:35
2;100;3.626585006713867;07/04/2023 22:44:37
4;100;2.0067691802978516;07/04/2023 22:44:38
4;100;3.168344497680664;07/04/2023 22:44:39
4;100;10.724782943725586;07/04/2023 22:44:41
4;100;1.9962787628173828;07/04/2023 22:44:42
4;100;9.43899154663086;07/04/2023 22:44:43
8;100;5.522727966308594;07/04/2023 22:44:45
8;100;2.9997825622558594;07/04/2023 22:44:46
8;100;3.0014514923095703;07/04/2023 22:44:48
8;100;3.0078887939453125;07/04/2023 22:44:49
8;100;3.0007362365722656;07/04/2023 22:44:51
16;100;7.002830505371094;07/04/2023 22:44:52
16;100;8.005142211914062;07/04/2023 22:44:53
16;100;6.002187728881836;07/04/2023 22:44:55
16;100;6.013154983520508;07/04/2023 22:44:56
16;100;6.00123405456543;07/04/2023 22:44:58
32;100;14.997243881225586;07/04/2023 22:44:59
32;100;12.000560760498047;07/04/2023 22:45:01
32;100;12.499094009399414;07/04/2023 22:45:02
32;100;12.998342514038086;07/04/2023 22:45:03
32;100;20.415544509887695;07/04/2023 22:45:05
